Algorithm,R2,MSE,RMSE,MAE,MAPE
Linear Regression,0.04605830473391903,455.99611182562677,21.35406546364478,16.998249066011095,865.3185943804513
Decision Tree Regressor,0.38462332090249896,294.1577817272754,17.151028590940992,12.931231019287646,486.6387111525335
Random Forest Regressor,0.46597036367787825,255.27287356342862,15.977261140866059,12.698057950565666,577.2319329429865
Polynomial Regression,0.09419491061955432,432.98620961749464,20.80832068230146,16.457975237283865,835.0610989494182
Lasso Regression,0.030993842426999207,463.197114017677,21.522014636591923,17.132740704663945,869.8864716163412
Ridge Regression,0.046058303707213866,455.9961123164047,21.35406547513622,16.998256295478146,865.3191034560168
ElasticNet Regression,0.030893036380478356,463.24530057403587,21.523134078800787,17.123968819507173,870.4490160015323
Polynomial Lasso Regression,0.04780163608287191,455.1627775446207,21.334544231002937,16.945456471540894,860.2302086367514
Polynomial Ridge Regression,0.09419489234211387,432.98621835434074,20.808320892237816,16.45804708502141,835.0566678819625
Polynomial ElasticNet Regression,0.054509411642797434,451.95637657745067,21.259265664115745,16.872626614667134,856.0976307398394
